Index,TCOO,Cooling_Cost,Heating_Cost,Energy_Cost_Above_Threshold
51,25254.79,"1051.44,680.24,651.86,1366.26,885.86,1114.39,952.59,351.85,401.36,1458.03,471.1,763.49,839.57,666.18,468.18,1193.07,1054.85,359.14,1078.35,88.7,1009.01,1330.58,587.39,920.29,349.08,298.77,226.86,404.74,287.28,512.34",[],6
52,25224.92,"1101.81,141.94,1374.49,1077.84,777.6,837.46,149.63,273.26,194.1,237.06,743.83,904.21,828.56,1419.38,155.14,1049.61,1127.67,987.08,626.79,239.11,535.96,753.15,280.83,863.32,1207.01,851.8,1373.37,973.01,1039.28,1450.98",[],8
53,22215.16,"1039.44,884.44,426.32,955.31,450.87,557.76,474.78,222.13,202.32,99.29,182.0,773.09,271.09,343.93,773.9,962.97,848.91,1313.05,804.41,240.3,596.48,569.78,469.33,943.13,405.81,995.99,472.97,393.53,1583.7,469.74",[],2
54,22840.89,"206.03,1168.52,964.82,353.52,634.24,940.38,248.23,182.89,626.11,467.57,821.67,1539.59,1075.04,476.87,93.62,1226.34,293.63,1160.83,553.09,235.0,323.59,248.95,240.44,696.89,315.6,1350.28,955.14,232.32,671.99,974.34",[],6
55,24533.4,"559.81,1337.65,649.02,977.24,458.87,1009.86,385.17,547.84,1981.02,166.78,334.32,938.56,1016.25,393.44,265.46,472.16,519.4,301.12,544.87,359.63,1150.52,1368.0,1206.85,288.26,700.15,192.13,868.96,1141.32,446.36,1120.41",[],7
56,24685.3,"496.31,678.28,867.95,613.22,172.36,415.17,274.64,1619.43,521.98,440.5,725.86,649.63,997.38,382.63,450.44,614.15,1124.32,1049.72,388.53,211.21,1382.93,958.94,987.45,293.84,1291.99,1443.41,1126.31,1651.32,383.18,1066.41",[],8
57,24893.28,"853.16,787.77,1231.57,680.38,338.98,548.47,769.33,1115.58,979.05,753.17,1617.37,632.85,308.11,932.54,95.99,164.21,373.6,650.53,576.89,1415.48,1455.91,1132.77,588.51,459.81,463.73,238.91,356.11,851.65,857.86,708.14",[],6
58,26470.06,"1082.73,678.47,619.84,1191.16,548.11,1025.41,230.25,865.02,1551.27,976.59,999.45,1320.93,150.22,899.12,1113.33,1158.12,375.37,573.02,942.18,443.29,765.78,974.62,1237.49,152.81,969.06,676.16,633.11,813.77,727.97,568.6",[],7
59,23239.1,"482.73,452.35,973.23,353.07,1415.84,844.07,397.05,951.16,560.27,668.07,296.07,506.36,1397.45,214.49,182.22,415.37,383.99,345.92,1123.44,569.28,999.66,613.74,965.63,498.74,374.17,885.17,382.49,1422.85,1139.64,220.34",[],5
60,24838.51,"271.09,696.36,482.65,1049.5,683.4,1168.95,1105.22,1463.49,618.65,503.2,901.4,333.03,881.25,358.61,471.33,920.67,297.94,623.82,1503.65,1296.91,377.29,1099.2,1074.06,220.71,1090.79,661.06,569.78,620.18,373.54,320.7",[],8
