Index,TCOO,Cooling_Cost,Heating_Cost
33,299140.0,"775.51,1063.35,416.05,333.28,951.0,610.4,656.9,405.14,1115.9,695.65,142.46,834.09,923.1,379.48,563.33,973.88,621.88,535.15,587.94,580.69,784.74,511.42,477.28,1163.14,706.75,583.38,402.35,928.73,917.22,429.28","8564.97,8441.74,8945.27,8242.33,9614.76,8898.75,8110.98,8738.15,7964.65,8295.56,7725.18,9594.07,9219.53,9356.76,9062.01,9233.36,9321.49,8509.19,7913.14,8768.96,9207.07,8939.28,8291.94,8804.32,7923.95,8882.31,9129.25,7346.93,8376.44,9411.76"
34,296623.72,"478.44,433.38,89.01,341.23,1278.24,340.05,678.52,153.66,205.8,570.47,617.42,377.92,1096.56,110.7,702.51,520.1,591.82,530.88,539.61,1319.42,884.71,183.67,241.31,385.66,108.19,556.77,1020.0,264.71,840.1,240.81","8162.72,8514.39,8998.93,8304.26,8057.43,9266.69,8982.79,8137.45,9656.74,9340.46,8725.07,8240.48,8936.75,9387.43,9008.49,9489.62,7807.81,7831.57,8642.73,7718.47,9428.52,8937.02,7657.84,9700.03,8268.2,8226.43,9349.21,8744.35,10149.62,8669.39"
35,294479.66,"900.92,287.22,305.3,354.52,740.37,713.8,144.05,578.91,230.56,1132.0,619.4,519.9,739.75,1337.11,218.65,159.58,643.99,934.88,257.7,465.49,617.58,673.42,349.84,509.3,1166.61,1140.17,115.08,462.27,744.46,850.69","8160.57,8972.86,9211.93,7379.39,8526.29,7979.58,8311.41,8209.08,8136.71,8955.59,9290.06,9129.42,9205.07,7365.05,8336.75,9085.58,8240.61,9476.76,8672.03,8595.3,7802.43,8835.85,9569.73,8050.61,9354.59,7690.36,9621.89,8670.38,7946.89,8224.22"
36,298901.23,"836.67,329.07,161.43,631.37,1129.3,338.32,115.36,354.92,1120.11,498.51,186.4,275.43,746.56,1051.43,293.05,1236.69,829.3,762.92,433.18,940.5,770.12,558.96,1117.43,128.85,342.71,619.04,836.1,1242.27,186.63,483.26","7556.64,8569.24,9701.97,10151.13,9153.12,7366.98,9086.08,9184.8,8065.37,9221.05,9184.8,8363.87,7522.19,7393.85,8930.21,9218.46,8470.04,9359.38,9733.89,8076.39,9067.29,9400.02,9344.84,8587.59,9438.52,9057.89,8053.36,8160.32,7603.43,9506.55"
37,300523.51,"855.44,1028.92,559.73,910.55,931.02,1151.78,1080.69,977.34,598.6,813.84,444.84,821.37,749.86,492.0,92.38,1091.97,546.39,386.53,1428.07,289.62,625.14,1032.93,1034.56,531.51,304.23,768.94,190.16,260.59,1341.36,1059.27","8244.35,8149.23,9167.36,9191.27,8331.3,8608.75,8254.63,8897.32,9234.98,9064.44,9843.79,7585.69,7525.38,8989.34,9138.13,9153.56,9079.73,8396.43,7820.07,8734.26,8567.29,8522.83,8352.07,7485.5,9250.03,9034.39,7897.41,9181.59,9056.38,9669.86"
38,297675.75,"661.34,502.06,1017.5,326.5,1202.54,1413.45,365.21,855.33,520.08,610.68,218.74,238.26,202.72,160.91,558.84,235.51,1030.49,699.49,673.86,241.54,541.57,158.01,695.65,727.19,1041.68,652.15,770.0,266.04,434.0,207.53","8952.28,8320.28,7939.45,9163.48,9407.54,8102.15,8234.33,7859.02,9684.6,8807.75,7447.77,9122.91,9831.38,9771.71,9136.4,8040.64,8369.08,7938.36,8747.16,9541.69,9266.0,9221.56,8549.5,9076.44,8702.26,7841.51,7852.68,8245.65,9253.15,8662.27"
39,300252.23,"313.85,974.26,1427.39,1080.41,1071.84,713.47,291.65,379.32,891.55,398.7,442.88,362.91,652.74,674.86,722.7,610.51,793.55,1041.72,1077.74,132.22,539.95,748.83,1111.41,694.71,503.04,615.28,384.46,911.22,705.7,666.1","8111.41,9604.99,8544.73,9304.8,9414.23,9278.98,8661.04,8597.35,8803.59,8932.16,8841.4,8213.95,7500.51,8355.7,7798.36,7713.96,7580.61,9648.65,9486.49,8834.16,9880.95,8823.37,7459.78,8240.48,9900.17,8757.6,9448.85,9008.94,8001.65,8232.81"
40,300614.2,"90.28,1384.78,218.38,446.66,930.83,1096.0,694.15,1275.45,840.02,881.71,319.35,927.09,482.02,1400.14,1149.47,426.07,460.99,849.24,524.54,799.62,312.39,848.59,90.24,575.17,118.56,1257.8,355.08,535.1,776.82,1014.22","9281.6,10013.27,10042.55,8499.45,8003.48,7831.78,8787.45,8505.6,8887.39,8840.14,7730.4,9067.23,8559.16,8625.46,8454.32,8331.14,8800.01,7586.54,8758.62,8969.09,7686.65,9437.56,9330.67,8771.0,7836.61,9624.34,7443.43,10097.69,8675.15,8670.14"
41,296966.22,"558.88,294.11,676.57,893.12,510.87,640.37,1003.37,135.78,347.23,537.33,1139.9,1128.23,467.22,621.86,585.45,223.61,159.95,584.7,313.09,813.31,210.78,559.43,411.99,265.32,1369.66,468.55,538.81,380.72,588.11,252.99","8284.73,8921.71,8105.73,8684.11,8193.75,7836.2,9324.08,9456.22,8966.4,8630.42,8805.47,9639.91,8912.47,9575.0,7812.38,7727.32,9347.44,7771.22,8776.31,8276.02,7604.78,8568.88,9574.89,8355.72,9484.71,9591.42,8362.38,8885.52,9387.43,8559.14"
42,299300.71,"783.46,1143.34,278.74,705.15,1129.82,973.74,440.86,1366.64,1021.45,691.68,627.86,961.67,392.53,291.3,498.35,969.84,678.7,549.14,1048.78,623.26,621.39,316.83,722.91,138.29,896.99,678.78,1276.8,1247.61,1009.26,174.9","8770.07,8759.34,9072.03,8693.42,8534.65,8809.45,7521.46,9105.36,8518.26,9130.64,7832.44,9515.61,8388.39,8831.55,8615.41,8336.75,7662.66,9202.37,8615.0,8078.39,7426.33,9232.45,8909.22,9198.34,8587.95,7379.39,7658.6,9843.42,9333.56,9059.3"
