Index,Final NPV,Cooling_Savings,Heating_Savings
21,74.86,"21.5,38.92,29.2,22.16,43.52,75.38,27.4,32.19,57.26,29.68,46.63,14.45,44.26,67.06,11.12,52.35,26.86,42.21,48.49,20.52,59.89,50.43,54.36,44.26,48.4,27.43,37.47,23.82,48.49,20.71","1018.05,887.96,1056.31,1122.07,859.26,1161.08,1292.81,914.24,1099.99,1252.52,978.25,903.84,1216.87,1098.94,927.4,1110.13,945.0,1143.66,974.13,1121.84,1378.94,930.42,1109.12,1066.27,933.48,857.8,909.98,1020.98,1173.69,1220.29"
22,582.79,"57.52,18.53,17.27,52.87,51.16,12.88,41.95,56.35,36.75,53.81,34.15,64.73,58.92,52.2,38.33,47.41,52.25,40.98,16.02,57.66,49.52,40.88,49.44,35.6,18.56,46.09,67.78,51.6,24.53,21.07","1168.71,1211.26,962.3,1332.37,1058.76,1295.09,943.83,983.56,903.49,1122.25,1113.03,900.26,1071.41,1137.38,1081.83,1207.18,940.96,900.58,983.32,1076.22,999.14,1070.23,1051.79,1139.2,1054.02,1007.05,1164.06,1082.8,1079.38,1085.19"
23,946.1,"9.96,25.05,57.72,38.17,46.41,45.47,24.57,48.19,61.06,46.57,60.26,49.58,24.92,25.9,52.06,14.45,50.6,50.32,27.08,25.79,45.94,49.34,35.47,30.02,26.92,37.31,23.27,55.67,57.66,43.05","1075.1,1074.65,939.39,1081.33,1297.67,1235.02,1078.32,1053.13,1144.53,1019.1,1238.71,989.96,1244.29,1145.32,1172.38,1172.62,966.4,887.71,1012.96,1332.37,1102.21,1212.56,923.97,1179.61,1101.39,1191.9,936.56,910.15,1051.72,984.82"
24,391.97,"12.66,31.31,50.66,20.14,50.84,67.56,18.19,24.57,54.83,17.31,34.16,20.43,22.12,55.53,53.48,39.98,61.98,38.21,36.54,50.56,17.9,38.46,39.8,34.64,38.68,31.14,37.73,15.45,32.99,46.22","1131.95,1164.06,1012.63,1063.48,1027.18,1174.11,941.28,1121.54,1020.98,1133.55,1268.17,1022.94,1166.66,1159.15,990.7,901.25,999.67,1071.4,1018.55,1002.48,1219.3,1054.05,1106.39,1133.87,864.58,1010.2,1016.45,1011.15,1078.84,1170.29"
25,521.73,"62.57,41.09,57.58,42.74,47.75,27.69,56.61,20.89,35.15,14.65,29.56,31.91,35.6,24.04,12.09,42.61,57.25,35.07,37.93,38.99,47.82,23.12,10.16,27.56,49.45,43.05,35.18,46.03,32.02,46.16","1117.33,1080.25,1082.17,966.83,1226.14,1062.6,1175.24,1211.05,1005.46,962.46,1086.32,1034.48,1009.87,966.43,1214.37,1147.84,1124.23,890.98,1043.65,1136.37,966.09,1061.55,1162.31,1137.68,862.6,1190.5,1186.35,1187.13,912.6,1051.79"
26,673.81,"45.63,24.38,20.09,55.17,49.19,35.59,62.72,52.02,38.46,54.75,26.89,30.45,33.05,61.6,48.55,31.79,50.85,34.57,40.88,32.3,41.62,52.68,35.45,53.33,25.49,23.85,44.6,51.73,47.34,29.51","985.5,1111.5,1271.71,1226.45,1101.66,1175.64,1212.63,917.58,1168.77,968.74,948.76,1132.61,1130.07,930.37,1041.13,988.9,1186.65,1010.09,1126.2,1004.58,1122.82,871.18,1022.36,1020.18,990.86,1127.49,1218.97,1338.54,952.29,985.47"
27,935.82,"39.94,15.88,17.17,47.55,61.14,49.31,19.6,16.07,46.58,43.68,50.5,53.28,55.78,61.05,43.03,57.4,43.72,48.53,44.28,51.3,42.44,39.98,44.15,40.51,38.64,38.89,41.11,33.89,42.7,58.51","1008.51,1143.06,973.28,1201.77,1107.61,1251.69,1001.39,1194.79,1272.98,925.53,1083.1,1165.27,1034.76,1138.75,1043.57,1070.43,1230.54,1175.76,1052.69,1201.33,930.79,1111.04,1151.49,994.47,996.44,1008.86,869.95,1109.13,1070.54,1146.55"
28,451.46,"33.23,33.95,51.01,52.42,52.43,32.34,39.93,47.47,18.47,27.88,48.07,36.14,44.18,48.67,34.57,22.19,26.2,24.9,26.45,29.18,24.26,34.01,49.77,61.79,57.7,39.94,22.82,66.68,51.16,35.52","1191.64,1030.79,1068.28,933.57,1210.52,996.12,930.58,1068.62,1089.29,1164.41,885.28,914.48,1298.24,1062.17,1219.59,1266.78,944.41,1164.06,944.16,1123.54,943.56,1003.86,1015.84,1100.91,1214.88,1112.23,928.62,1254.41,950.83,1219.59"
29,755.28,"37.0,40.6,35.13,42.86,53.9,15.4,57.76,54.69,67.1,55.47,27.34,60.17,34.45,59.06,53.53,32.1,53.87,28.64,59.96,50.1,56.44,25.21,60.57,55.89,45.53,53.43,53.48,13.8,28.23,26.23","970.29,1097.05,984.09,1093.97,1200.97,1173.78,1092.79,1075.14,1034.69,1036.72,1095.55,1226.72,1071.02,1088.55,1123.21,1014.63,857.72,1172.08,1275.69,1198.29,1053.67,1194.31,1125.29,885.87,1109.83,934.27,973.33,1131.7,1036.89,1099.14"
30,211.18,"36.87,33.53,40.18,61.28,37.01,56.84,47.26,40.52,38.42,31.71,25.21,34.54,43.95,60.93,37.71,62.95,35.51,33.86,57.71,59.53,61.38,28.37,64.58,33.52,26.7,49.54,30.36,58.13,56.45,36.99","1179.61,1178.42,984.09,973.78,1039.48,1103.96,1210.59,1002.15,1384.05,1030.94,898.8,978.77,963.04,1184.22,891.54,1064.79,1128.15,1000.24,896.99,1128.61,953.2,984.24,943.01,1082.47,1229.61,1081.8,1096.38,902.76,985.03,984.42"
