Index,Final NPV,Cooling_Savings,Heating_Savings
22,-9016.24,"36.33,28.75,23.1,18.03,23.35,20.11,16.55,23.55,26.13,10.88,17.2,24.64,21.46,31.8,32.62,9.98,9.58,7.2,24.04,20.45,28.2,9.07,25.21,24.02,32.72,8.55,27.22,31.12,21.53,36.36","634.9,627.43,600.54,631.19,618.21,581.95,539.92,659.78,645.47,654.2,599.64,542.32,667.11,610.24,618.07,670.18,534.8,623.51,711.69,594.66,616.98,685.7,641.35,609.83,591.29,533.47,638.21,770.2,599.09,619.66"
23,-9213.65,"29.33,26.67,35.62,28.7,23.42,24.73,12.86,25.58,15.29,22.43,36.63,16.14,16.47,17.71,27.74,25.74,29.76,15.43,35.74,28.02,35.41,18.16,20.51,21.24,22.89,23.29,16.35,17.06,19.26,31.88","633.35,638.27,607.05,611.83,552.1,573.43,726.69,574.84,608.02,676.18,581.98,589.43,561.9,608.19,657.88,563.84,598.1,698.48,588.33,600.11,676.52,654.15,597.61,552.08,585.04,554.03,601.51,539.79,592.6,598.65"
24,-9228.01,"6.8,25.46,26.74,35.13,24.0,23.26,30.1,29.44,34.43,13.76,21.26,12.26,19.85,12.06,13.34,20.54,26.79,31.47,27.81,15.94,21.71,29.38,12.46,29.02,16.42,14.51,24.27,30.19,9.59,15.51","615.89,590.15,633.39,574.0,618.43,581.98,675.11,611.47,608.97,597.61,625.32,640.19,629.47,654.95,612.98,643.97,577.37,597.42,621.29,525.22,668.01,553.53,696.64,557.15,587.91,560.63,560.35,649.49,606.97,601.11"
25,-9228.3,"30.99,28.92,19.98,31.68,27.9,16.83,24.62,30.34,30.3,32.99,23.62,29.65,35.46,15.45,19.04,24.97,26.14,12.55,32.81,28.71,18.64,26.01,25.04,22.64,16.75,37.87,14.08,26.67,13.79,13.81","575.82,543.84,558.13,659.23,659.81,563.51,587.65,534.88,594.96,674.35,661.29,551.49,569.53,537.8,553.44,574.93,706.55,600.86,727.88,625.75,689.02,588.55,583.4,560.29,638.79,637.48,681.29,642.58,565.46,726.77"
26,-9184.18,"36.85,25.07,26.89,24.58,10.46,12.99,29.08,27.19,31.62,31.99,27.85,26.45,26.92,39.71,14.94,20.56,29.46,8.72,13.33,26.04,24.78,38.54,36.35,18.04,19.03,12.65,24.19,26.21,22.53,25.34","606.05,654.96,620.99,563.14,686.5,634.6,585.49,541.93,694.63,683.41,570.17,550.4,605.94,554.5,541.12,549.77,637.28,589.37,577.09,664.9,655.78,583.87,652.7,659.02,639.01,673.37,633.4,547.95,574.15,532.51"
27,-9102.09,"30.27,25.11,24.68,8.73,27.17,22.01,23.52,14.71,19.77,34.71,28.54,21.31,31.3,20.01,36.95,14.2,26.0,18.92,21.68,23.37,20.26,30.59,26.79,19.1,29.73,34.53,29.33,21.27,24.95,16.09","572.73,621.83,630.32,576.6,614.23,690.71,593.29,564.13,550.51,639.12,618.3,712.99,549.87,579.22,687.25,588.93,676.99,661.19,615.8,585.1,623.77,606.75,615.39,620.76,623.46,628.07,573.83,554.89,590.07,709.34"
28,-9064.47,"10.47,21.99,24.43,20.68,13.41,15.01,20.71,31.55,33.53,36.43,28.79,29.4,14.64,29.92,16.29,18.81,32.16,35.4,25.82,33.47,20.66,22.06,14.39,23.96,12.78,27.78,8.98,32.65,26.59,26.69","546.38,690.97,625.18,644.32,619.53,578.6,672.34,580.9,690.07,626.43,571.05,711.35,663.19,603.05,553.36,525.11,586.82,639.67,569.66,603.17,579.27,582.0,644.62,689.12,647.2,526.31,555.06,629.49,603.85,745.02"
29,-8926.6,"31.52,6.16,20.52,8.91,26.8,11.82,26.94,12.65,21.06,28.25,22.24,27.59,38.52,11.4,27.7,29.44,15.51,19.76,38.17,31.51,9.65,30.72,17.32,30.88,36.49,6.83,33.19,30.22,7.92,24.49","712.28,575.02,555.24,582.54,545.51,714.0,678.14,553.21,723.07,723.34,593.27,608.51,671.42,675.5,723.0,631.29,611.77,673.23,584.84,598.46,610.36,607.98,611.26,530.17,553.58,594.0,621.09,608.02,549.59,645.6"
30,-9357.59,"17.67,26.59,35.38,27.27,25.05,24.64,28.18,27.75,25.22,37.79,14.0,13.36,27.71,8.07,32.06,27.32,13.78,15.92,32.63,36.75,29.07,32.27,35.67,18.97,25.06,18.96,21.53,21.09,36.08,17.59","525.29,682.66,619.13,572.87,656.84,621.3,616.01,528.61,533.7,541.02,529.58,679.1,547.82,576.06,549.6,627.01,524.51,717.1,590.48,660.38,670.37,632.06,591.7,645.28,750.91,610.56,533.22,572.12,526.78,670.25"
31,-9174.34,"12.71,24.09,37.64,19.61,28.38,27.78,37.11,36.83,10.99,25.33,15.93,24.81,33.53,9.8,28.51,19.95,25.74,27.34,22.36,33.56,25.0,27.66,22.23,23.59,27.74,12.01,29.32,18.43,24.53,34.19","575.13,626.21,649.86,710.25,577.26,602.24,634.68,611.03,592.7,579.29,572.68,551.33,609.38,549.1,712.89,537.27,584.94,610.86,752.03,636.83,550.94,572.73,738.51,606.27,521.15,605.63,574.84,581.63,684.68,579.3"
